"Compound name","Smiles","logkp (cm/s)","skin source type","skin source site","used layer","skin preparation","storage temperature (°C)","storage duration (days)","neat","donor/skin surface temperature (°C)","donor pH","donor type","acceptor temperature (°C)","acceptor pH","acceptor type","cell type","reference","DOI","LogP","molecular weight"
Sucrose,OC[C@H]1O[C@@]([C@H]([C@@H]1O)O)(CO)O[C@H]1O[C@H](CO)[C@H]([C@@H]([C@H]1O)O)O,-8.84,Abdominoplasty or cadaver,unknown,"epidermis, dermis",dry heat separation,4,8.5,0,37,4,Succinate solution,37,4,Succinate solution,Flow through cell,"Anderson, 1988",10.1023/a:1015989929342,-5.395599999999993,342.11621152399994
4-Hydroxybenzyl alcohol,OCc1ccc(cc1)O,-6.255,Abdominoplasty,abdomen,stratum corneum,dry heat separation,unknown,unknown,0,unknown,4,Succinate solution,unknown,unknown,unknown,Flow through cell,"Anderson, 1989",10.1111/1523-1747.ep12277592,0.8845000000000001,124.052429496
4-Hydroxyphenylacetamide,NC(=O)Cc1ccc(cc1)O,-6.903,Abdominoplasty,abdomen,stratum corneum,dry heat separation,unknown,unknown,0,unknown,4,Succinate solution,unknown,unknown,unknown,Flow through cell,"Anderson, 1989",10.1111/1523-1747.ep12277592,0.4199999999999999,151.063328528
4-Hydroxyphenylacetic acid,OC(=O)Cc1ccc(cc1)O,-6.158,Abdominoplasty,abdomen,stratum corneum,dry heat separation,unknown,unknown,0,unknown,4,Succinate solution,unknown,unknown,unknown,Flow through cell,"Anderson, 1989",10.1111/1523-1747.ep12277592,1.0193,152.047344116
Methyl 4-hydroxyphenylacetate,COC(=O)Cc1ccc(cc1)O,-5.255,Abdominoplasty,abdomen,stratum corneum,dry heat separation,unknown,unknown,0,unknown,4,Succinate solution,unknown,unknown,unknown,Flow through cell,"Anderson, 1989",10.1111/1523-1747.ep12277592,1.1077,166.06299418
p-Cresol,Cc1ccc(cc1)O,-4.477,Abdominoplasty,abdomen,stratum corneum,dry heat separation,unknown,unknown,0,unknown,4,Succinate solution,unknown,unknown,unknown,Flow through cell,"Anderson, 1989",10.1111/1523-1747.ep12277592,1.7006199999999996,108.057514876
Toluene,Cc1ccccc1,-3.637,Abdominoplasty,abdomen,stratum corneum,dry heat separation,unknown,unknown,0,unknown,4,Succinate solution,unknown,unknown,unknown,Flow through cell,"Anderson, 1989",10.1111/1523-1747.ep12277592,1.99502,92.062600256
Water,O,-6.438,Amputated limb,"thigh, leg","epidermis, dermis",dermatomed 380um,-20,1,0,unknown,7,PBS,unknown,7,PBS,Glass diffusion cell,"Astley, 1976",10.1002/jps.2600650210 ,-0.8247,18.010564684
Water,O,-6.606,Amputated limb,"thigh, leg","epidermis, dermis",dermatomed 380um,-20,30,0,unknown,7,PBS,unknown,7,PBS,Glass diffusion cell,"Astley, 1976",10.1002/jps.2600650210 ,-0.8247,18.010564684
Water,O,-6.323,Amputated limb,"thigh, leg","epidermis, dermis",dermatomed 380um,-20,90,0,unknown,7,PBS,unknown,7,PBS,Glass diffusion cell,"Astley, 1976",10.1002/jps.2600650210 ,-0.8247,18.010564684
Water,O,-6.502,Amputated limb,"thigh, leg","epidermis, dermis",dermatomed 380um,-20,180,0,unknown,7,PBS,unknown,7,PBS,Glass diffusion cell,"Astley, 1976",10.1002/jps.2600650210 ,-0.8247,18.010564684
2-Ethoxyethyl acetate,CCOCCOC(=O)C,-2.839,Cadaver,unknown,stratum corneum,heat separation,4,2,1,unknown,unknown,unknown,37,7.1,Dulbecco PBS,Franz cell,"Barber, 1992",10.1016/0272-0590(92)90086-W,0.586,132.078644244
2-Ethylhexanol,CCCCC(CO)CC,-4.343,Cadaver,unknown,stratum corneum,heat separation,4,2,1,unknown,unknown,unknown,30,7.1,Dulbecco PBS,Franz cell,"Barber, 1992",10.1016/0272-0590(92)90086-W,2.1951,130.135765196
2-Propoxyethanol,CCCOCCO,-3.192,Cadaver,unknown,stratum corneum,heat separation,4,2,1,unknown,unknown,unknown,30,7.1,Dulbecco PBS,Franz cell,"Barber, 1992",10.1016/0272-0590(92)90086-W,0.40530000000000005,104.083729624
Bis(2-ethylhexyl)phthalate,CCCCC(COC(=O)c1ccccc1C(=O)OCC(CCCC)CC)CC,-6.979,Cadaver,unknown,stratum corneum,heat separation,4,2,1,unknown,unknown,unknown,30,7.1,Dulbecco PBS,Franz cell,"Barber, 1992",10.1016/0272-0590(92)90086-W,6.433000000000007,390.277009696
Diethylene glycol monobutyl ether,CCCCOCCOCCO,-3.514,Cadaver,unknown,stratum corneum,heat separation,4,2,1,unknown,unknown,unknown,37,7.1,Dulbecco PBS,Franz cell,"Barber, 1992",10.1016/0272-0590(92)90086-W,0.812,162.125594436
Ethyl 3-ethoxypropionate,CCOCCC(=O)OCC,-3.113,Cadaver,unknown,stratum corneum,heat separation,4,2,1,unknown,unknown,unknown,30,7.1,Dulbecco PBS,Franz cell,"Barber, 1992",10.1016/0272-0590(92)90086-W,0.9761000000000001,146.094294308
Urea,NC(=O)N,-3.83,Cadaver,unknown,stratum corneum,heat separation,4,2,0,unknown,unknown,unknown,37,7.1,Dulbecco PBS,Franz cell,"Barber, 1992",10.1016/0272-0590(92)90086-W,-0.9762,60.032362748
Water,O,-2.807,Cadaver,unknown,stratum corneum,heat separation,4,2,0,unknown,unknown,unknown,unknown,7.1,Dulbecco PBS,Franz cell,"Barber, 1992",10.1016/0272-0590(92)90086-W,-0.8247,18.010564684
Ethanol,CCO,-7.079,Cadaver,abdomen,"epidermis, dermis",fat removed,unknown,unknown,0,22,unknown,NaCl solution,22,unknown,NaCl solution,unknown,"Blank, 1964",10.1038/jid.1964.174,-0.0014000000000000123,46.041864812
1-Octanol,CCCCCCCCO,-4.84,Cadaver,abdomen,"epidermis, dermis",fat removed,unknown,unknown,0,22,unknown,NaCl solution,22,unknown,NaCl solution,unknown,"Blank, 1964",10.1038/jid.1964.174,2.3392000000000013,130.135765196
1-Pentanol,CCCCCO,-5.778,Cadaver,abdomen,"epidermis, dermis",fat removed,unknown,unknown,0,22,unknown,NaCl solution,22,unknown,NaCl solution,unknown,"Blank, 1964",10.1038/jid.1964.174,1.1689,88.088815004
1-Propanol,CCCO,-6.556,Cadaver,abdomen,"epidermis, dermis",fat removed,unknown,unknown,0,22,unknown,NaCl solution,22,unknown,NaCl solution,unknown,"Blank, 1964",10.1038/jid.1964.174,0.3887,60.057514876
"2,3-Butanediol",CC(C(O)C)O,-7.857,Cadaver,abdomen,epidermis,heat separation,unknown,unknown,0,unknown,unknown,unknown,unknown,unknown,unknown,Glass diffusion cell,"Blank, 1967",10.1038/jid.1967.184,-0.252,90.06807956
1-Butanol,CCCCO,-6.079,Cadaver,abdomen,epidermis,heat separation,unknown,unknown,0,unknown,unknown,unknown,unknown,unknown,unknown,Glass diffusion cell,"Blank, 1967",10.1038/jid.1967.184,0.7787999999999999,74.07316494
Butan-2-one,CCC(=O)C,-5.903,Cadaver,abdomen,epidermis,heat separation,unknown,unknown,0,unknown,unknown,unknown,unknown,unknown,unknown,Glass diffusion cell,"Blank, 1967",10.1038/jid.1967.184,0.9854,72.057514876
2-Ethoxyethanol,OCCOCC,-7.158,Cadaver,abdomen,epidermis,heat separation,unknown,unknown,0,unknown,unknown,unknown,unknown,unknown,unknown,Glass diffusion cell,"Blank, 1967",10.1038/jid.1967.184,0.01519999999999988,90.06807956
Diethyl ether,CCOCC,-5.352,Cadaver,abdomen,epidermis,heat separation,unknown,unknown,0,unknown,unknown,unknown,unknown,unknown,unknown,Glass diffusion cell,"Blank, 1967",10.1038/jid.1967.184,1.0428000000000002,74.07316494
Benzene,c1ccccc1,-4.511,Cadaver,abdomen,epidermis,heat separation,4,unknown,0,31,unknown,NaCl solution,unknown,unknown,NaCl solution,Glass diffusion cell,"Blank, 1985",10.1111/1523-1747.ep12277325,1.6866,78.046950192
2-Amino-4-Nitrophenol,[O-][N+](=O)c1ccc(c(c1)N)O,-8.079,Cadaver,abdomen,epidermis,heat separation,4,28,0,32,9.7,Borate buffer,32,unknown,NaCl solution,Glass diffusion cell,"Bronaugh, 1984",10.1111/1523-1747.ep12263302,0.8825999999999998,154.037842052
2-Nitro-p-Phenylenediamine,Nc1ccc(c(c1)[N+](=O)[O-])N,-6.857,Cadaver,abdomen,epidermis,heat separation,4,28,0,32,9.7,Borate buffer,32,unknown,NaCl solution,Glass diffusion cell,"Bronaugh, 1984",10.1111/1523-1747.ep12263302,0.7592000000000001,153.053826464
4-Amino-2-Nitrophenol,Nc1ccc(c(c1)[N+](=O)[O-])O,-7.622,Cadaver,abdomen,epidermis,heat separation,4,28,0,32,9.7,Borate buffer,32,unknown,NaCl solution,Glass diffusion cell,"Bronaugh, 1984",10.1111/1523-1747.ep12263302,0.8825999999999998,154.037842052
4-Chloro-m-Phenylenediamine,Nc1ccc(c(c1)N)Cl,-6.234,Cadaver,abdomen,epidermis,heat separation,4,28,0,32,9.7,Borate buffer,32,unknown,NaCl solution,Glass diffusion cell,"Bronaugh, 1984",10.1111/1523-1747.ep12263302,1.5044,142.029775904
o-Phenylenediamine,Nc1ccccc1N,-6.903,Cadaver,abdomen,epidermis,heat separation,4,28,0,32,9.7,Borate buffer,32,unknown,NaCl solution,Glass diffusion cell,"Bronaugh, 1984",10.1111/1523-1747.ep12263302,0.851,108.06874825599999
p-Phenylenediamine,Nc1ccc(cc1)N,-7.176,Cadaver,abdomen,epidermis,heat separation,4,28,0,32,9.7,Borate buffer,32,unknown,NaCl solution,Glass diffusion cell,"Bronaugh, 1984",10.1111/1523-1747.ep12263302,0.851,108.06874825599999
"2,4-Dichlorophenol",Clc1ccc(c(c1)Cl)O,-5.065,unknown,abdomen,epidermis,prepared with NaBr solution,-80,unknown,0,unknown,unknown,"NaCl, sodium azide",unknown,unknown,unknown,unknown,"Buist, 2010",10.1016/j.yrtph.2010.02.008,2.699000000000001,161.963920108
Acetic acid,CC(=O)O,-6.079,unknown,abdomen,epidermis,prepared with NaBr solution,-80,unknown,0,unknown,unknown,"NaCl, sodium azide",unknown,unknown,unknown,unknown,"Buist, 2010",10.1016/j.yrtph.2010.02.008,0.09089999999999993,60.021129368000004
Benzoic acid,OC(=O)c1ccccc1,-5.675,unknown,abdomen,epidermis,prepared with NaBr solution,-80,unknown,0,unknown,unknown,"NaCl, sodium azide",unknown,unknown,unknown,unknown,"Buist, 2010",10.1016/j.yrtph.2010.02.008,1.3848,122.036779432
Bis(2-ethylhexyl)phthalate,CCCCC(COC(=O)c1ccccc1C(=O)OCC(CCCC)CC)CC,-7.653,unknown,abdomen,epidermis,prepared with NaBr solution,-80,unknown,0,unknown,unknown,"NaCl, sodium azide",unknown,unknown,unknown,unknown,"Buist, 2010",10.1016/j.yrtph.2010.02.008,6.433000000000007,390.277009696
Butoxyethanol,CCCCOC(O)C,-6.0,unknown,abdomen,epidermis,prepared with NaBr solution,-80,unknown,0,unknown,unknown,"NaCl, sodium azide",unknown,unknown,unknown,unknown,"Buist, 2010",10.1016/j.yrtph.2010.02.008,1.1414,118.099379688
Cortisone,OCC(=O)[C@@]1(O)CC[C@@H]2[C@]1(C)CC(=O)[C@H]1[C@H]2CCC2=CC(=O)CC[C@]12C,-7.38,unknown,abdomen,epidermis,prepared with NaBr solution,-80,unknown,0,unknown,unknown,"NaCl, sodium azide",unknown,unknown,unknown,unknown,"Buist, 2010",10.1016/j.yrtph.2010.02.008,1.9897999999999998,360.193673996
1-Decanol,CCCCCCCCCCO,-5.515,unknown,abdomen,epidermis,prepared with NaBr solution,-80,unknown,0,unknown,unknown,"NaCl, sodium azide",unknown,unknown,unknown,unknown,"Buist, 2010",10.1016/j.yrtph.2010.02.008,3.119400000000002,158.167065324
Diazinon,CCOP(=S)(Oc1cc(C)nc(n1)C(C)C)OCC,-5.617,unknown,abdomen,epidermis,prepared with NaBr solution,-80,unknown,0,unknown,unknown,"NaCl, sodium azide",unknown,unknown,unknown,unknown,"Buist, 2010",10.1016/j.yrtph.2010.02.008,3.5847200000000026,304.101050162
Ethacrynic acid,CCC(=C)C(=O)c1ccc(c(c1Cl)Cl)OCC(=O)O,-7.38,unknown,abdomen,epidermis,prepared with NaBr solution,-80,unknown,0,unknown,unknown,"NaCl, sodium azide",unknown,unknown,unknown,unknown,"Buist, 2010",10.1016/j.yrtph.2010.02.008,3.6057000000000023,302.01126422399994
Linolenic acid,CC/C=C/C/C=C/C/C=C/CCCCCCCC(=O)O,-5.988,unknown,abdomen,epidermis,prepared with NaBr solution,-80,unknown,0,unknown,unknown,"NaCl, sodium azide",unknown,unknown,unknown,unknown,"Buist, 2010",10.1016/j.yrtph.2010.02.008,5.660500000000005,278.2245802
Octylparaben,CCCCCCCCOC(=O)c1ccc(cc1)O,-5.588,unknown,abdomen,epidermis,prepared with NaBr solution,-80,unknown,0,unknown,unknown,"NaCl, sodium azide",unknown,unknown,unknown,unknown,"Buist, 2010",10.1016/j.yrtph.2010.02.008,3.9095000000000035,250.156894564
Oleic acid,CCCCCCCC/C=CCCCCCCCC(=O)O,-6.442,unknown,abdomen,epidermis,prepared with NaBr solution,-80,unknown,0,unknown,unknown,"NaCl, sodium azide",unknown,unknown,unknown,unknown,"Buist, 2010",10.1016/j.yrtph.2010.02.008,6.1085000000000065,282.255880328
Propylparaben,CCCOC(=O)c1ccc(cc1)O,-5.41,unknown,abdomen,epidermis,prepared with NaBr solution,-80,unknown,0,unknown,unknown,"NaCl, sodium azide",unknown,unknown,unknown,unknown,"Buist, 2010",10.1016/j.yrtph.2010.02.008,1.959,180.078644244
Salicylic acid,OC(=O)c1ccccc1O,-6.588,unknown,abdomen,epidermis,prepared with NaBr solution,-80,unknown,0,unknown,unknown,"NaCl, sodium azide",unknown,unknown,unknown,unknown,"Buist, 2010",10.1016/j.yrtph.2010.02.008,1.0903999999999998,138.031694052
Testosterone,O=C1CC[C@]2(C(=C1)CC[C@@H]1[C@@H]2CC[C@]2([C@H]1CC[C@@H]2O)C)C,-5.67,unknown,abdomen,epidermis,prepared with NaBr solution,-80,unknown,0,unknown,unknown,"NaCl, sodium azide",unknown,unknown,unknown,unknown,"Buist, 2010",10.1016/j.yrtph.2010.02.008,3.8792000000000026,288.208930136
1-Butanol,CCCCO,-5.481,Abdominoplasty,abdomen,epidermis,heat separation,-20,unknown,0,unknown,unknown,unknown,37,unknown,unknown,Glass diffusion cell,"Chantasart, 2010",10.1007/s11095-010-0181-z,0.7787999999999999,74.07316494
1-Hexanol,CCCCCCO,-5.284,Abdominoplasty,abdomen,epidermis,heat separation,-20,unknown,0,unknown,unknown,unknown,37,unknown,unknown,Glass diffusion cell,"Chantasart, 2010",10.1007/s11095-010-0181-z,1.559,102.104465068
1-Hexyl-2-Pyrrolidone,CCCCCCN1CCCC1=O,-5.208,Abdominoplasty,abdomen,epidermis,heat separation,-20,unknown,0,unknown,unknown,unknown,37,unknown,unknown,Glass diffusion cell,"Chantasart, 2010",10.1007/s11095-010-0181-z,2.1891,169.146664228
1-Octanol,CCCCCCCCO,-4.87,Abdominoplasty,abdomen,epidermis,heat separation,-20,unknown,0,unknown,unknown,unknown,37,unknown,unknown,Glass diffusion cell,"Chantasart, 2010",10.1007/s11095-010-0181-z,2.3392000000000013,130.135765196
1-Octyl-2-Azacycloheptanone,CCCCCCCCN1CCCCCC1=O,-4.836,Abdominoplasty,abdomen,epidermis,heat separation,-20,unknown,0,unknown,unknown,unknown,37,unknown,unknown,Glass diffusion cell,"Chantasart, 2010",10.1007/s11095-010-0181-z,3.749500000000003,225.209264484
1-Octyl-2-Pyrrolidone,CCCCCCCCN1CCCC1=O,-4.827,Abdominoplasty,abdomen,epidermis,heat separation,-20,unknown,0,unknown,unknown,unknown,37,unknown,unknown,Glass diffusion cell,"Chantasart, 2010",10.1007/s11095-010-0181-z,2.9693000000000014,197.177964356
1-Pentanol,CCCCCO,-5.125,Abdominoplasty,abdomen,epidermis,heat separation,-20,unknown,0,unknown,unknown,unknown,37,unknown,unknown,Glass diffusion cell,"Chantasart, 2010",10.1007/s11095-010-0181-z,1.1689,88.088815004
2-Phenylethanol,OCCc1ccccc1,-5.276,Abdominoplasty,abdomen,epidermis,heat separation,-20,unknown,0,unknown,unknown,unknown,37,unknown,unknown,Glass diffusion cell,"Chantasart, 2010",10.1007/s11095-010-0181-z,1.2214,122.07316494
Carvacrol,CC(c1ccc(c(c1)O)C)C,-4.842,Abdominoplasty,abdomen,epidermis,heat separation,-20,unknown,0,unknown,unknown,unknown,37,unknown,unknown,Glass diffusion cell,"Chantasart, 2010",10.1007/s11095-010-0181-z,2.824020000000001,150.104465068
Thymol,Cc1ccc(c(c1)O)C(C)C,-4.86,Abdominoplasty,abdomen,epidermis,heat separation,-20,unknown,0,unknown,unknown,unknown,37,unknown,unknown,Glass diffusion cell,"Chantasart, 2010",10.1007/s11095-010-0181-z,2.824020000000001,150.104465068
Ethanol,CCO,-6.278,Abdominoplasty,abdomen,epidermis,heat separation,unknown,unknown,0,35,7.4,PBS,35,7.4,PBS with bovine serum albumin,Franz cell,"Cross, 2003",10.1046/j.1523-1747.2003.12131.x,-0.0014000000000000123,46.041864812
1-Butanol,CCCCO,-5.659,Abdominoplasty,abdomen,epidermis,heat separation,unknown,unknown,0,35,7.4,PBS,35,7.4,PBS with bovine serum albumin,Franz cell,"Cross, 2003",10.1046/j.1523-1747.2003.12131.x,0.7787999999999999,74.07316494
1-Decanol,CCCCCCCCCCO,-4.701,Abdominoplasty,abdomen,epidermis,heat separation,unknown,unknown,0,35,7.4,PBS,35,7.4,PBS with bovine serum albumin,Franz cell,"Cross, 2003",10.1046/j.1523-1747.2003.12131.x,3.119400000000002,158.167065324
1-Hexanol,CCCCCCO,-5.051,Abdominoplasty,abdomen,epidermis,heat separation,unknown,unknown,0,35,7.4,PBS,35,7.4,PBS with bovine serum albumin,Franz cell,"Cross, 2003",10.1046/j.1523-1747.2003.12131.x,1.559,102.104465068
1-Octanol,CCCCCCCCO,-4.586,Abdominoplasty,abdomen,epidermis,heat separation,unknown,unknown,0,35,7.4,PBS,35,7.4,PBS with bovine serum albumin,Franz cell,"Cross, 2003",10.1046/j.1523-1747.2003.12131.x,2.3392000000000013,130.135765196
2-Hydroxypropyl Nicotinate,CC(COC(=O)c1cccnc1)O,-8.025,Abdominoplasty or mammaplasty,"abdomen, breast",epidermis,heat separation,4,unknown,0,37,7.4,unknown,37,unknown,PBS,Franz cell,"Dalpozzo, 1991",10.1002/jps.2600800114,0.6192,181.073893212
Benzyl nicotinate,O=C(c1cccnc1)OCc1ccccc1,-5.348,Abdominoplasty or mammaplasty,"abdomen, breast",epidermis,heat separation,4,unknown,0,37,7.4,unknown,37,unknown,PBS,Franz cell,"Dalpozzo, 1991",10.1002/jps.2600800114,2.4386,213.078978592
Butyl nicotinate,CCCCOC(=O)c1cccnc1,-5.335,Abdominoplasty or mammaplasty,"abdomen, breast",epidermis,heat separation,4,unknown,0,37,7.4,unknown,37,unknown,PBS,Franz cell,"Dalpozzo, 1991",10.1002/jps.2600800114,2.0385,179.094628656
Ethyl nicotinate,CCOC(=O)c1cccnc1,-5.755,Abdominoplasty or mammaplasty,"abdomen, breast",epidermis,heat separation,4,unknown,0,37,7.4,unknown,37,unknown,PBS,Franz cell,"Dalpozzo, 1991",10.1002/jps.2600800114,1.2583,151.063328528
Isonicotinic acid,OC(=O)c1ccncc1,-8.173,Abdominoplasty or mammaplasty,"abdomen, breast",epidermis,heat separation,4,unknown,0,37,7.4,unknown,37,unknown,PBS,Franz cell,"Dalpozzo, 1991",10.1002/jps.2600800114,0.7797999999999999,123.0320284
Methyl nicotinate,COC(=O)c1cccnc1,-6.046,Abdominoplasty or mammaplasty,"abdomen, breast",epidermis,heat separation,4,unknown,0,37,7.4,unknown,37,unknown,PBS,Franz cell,"Dalpozzo, 1991",10.1002/jps.2600800114,0.8681999999999999,137.047678464
Methyltriglycol nicotinate,COCCOCCOCCOC(=O)c1cccnc1,-7.308,Abdominoplasty or mammaplasty,"abdomen, breast",epidermis,heat separation,4,unknown,0,37,7.4,unknown,37,unknown,PBS,Franz cell,"Dalpozzo, 1991",10.1002/jps.2600800114,0.9179999999999995,269.12632270800003
